,rating,agent_type,misinformation_type,rebuttal_type,rating_score
35,somewhat helpful,neutral,Fallacy of Relevance,Missing Mechanism 2,1
36,somewhat helpful,neutral,Fallacy of Relevance,No Need to Address,1
37,somewhat helpful,neutral,Fallacy of Relevance,Negative Effect due to y,1
38,somewhat helpful,neutral,Fallacy of Relevance,Positive Effects of a Different Perspective from y 1,1
39,somewhat helpful,neutral,Fallacy of Relevance,Positive Effects of a Different Perspective from y 2,1
40,somewhat helpful,neutral,Faulty Generalization,Mitigation,1
41,somewhat helpful,neutral,Faulty Generalization,Alternative,1
42,helpful,neutral,Faulty Generalization,No Evidence,2
43,somewhat helpful,neutral,Faulty Generalization,Another True Cause,1
44,somewhat helpful,neutral,Faulty Generalization,Missing Mechanism 1,1
45,somewhat helpful,neutral,Faulty Generalization,Missing Mechanism 2,1
46,somewhat helpful,neutral,Faulty Generalization,No Need to Address,1
47,helpful,neutral,Faulty Generalization,Negative Effect due to y,2
48,somewhat helpful,neutral,Faulty Generalization,Positive Effects of a Different Perspective from y 1,1
49,somewhat helpful,neutral,Faulty Generalization,Positive Effects of a Different Perspective from y 2,1
50,somewhat helpful,neutral,Equivocation,Mitigation,1
51,somewhat helpful,neutral,Equivocation,Alternative,1
52,somewhat helpful,neutral,Equivocation,No Evidence,1
53,somewhat helpful,neutral,Equivocation,Another True Cause,1
54,somewhat helpful,neutral,Equivocation,Missing Mechanism 1,1
55,somewhat helpful,neutral,Equivocation,Missing Mechanism 2,1
56,somewhat helpful,neutral,Equivocation,No Need to Address,1
57,somewhat helpful,neutral,Equivocation,Negative Effect due to y,1
58,somewhat helpful,neutral,Equivocation,Positive Effects of a Different Perspective from y 1,1
59,helpful,neutral,Equivocation,Positive Effects of a Different Perspective from y 2,2
60,somewhat helpful,neutral,Ad Populum,Mitigation,1
61,somewhat helpful,neutral,Ad Populum,Alternative,1
62,helpful,neutral,Ad Populum,No Evidence,2
63,somewhat helpful,neutral,Ad Populum,Another True Cause,1
64,somewhat helpful,neutral,Ad Populum,Missing Mechanism 1,1
65,somewhat helpful,neutral,Ad Populum,Missing Mechanism 2,1
66,somewhat helpful,neutral,Ad Populum,No Need to Address,1
67,somewhat helpful,neutral,Ad Populum,Negative Effect due to y,1
68,somewhat helpful,neutral,Ad Populum,Positive Effects of a Different Perspective from y 1,1
69,somewhat helpful,neutral,Ad Populum,Positive Effects of a Different Perspective from y 2,1
70,somewhat helpful,neutral,Circular Claim,Mitigation,1
71,somewhat helpful,neutral,Circular Claim,Alternative,1
72,somewhat helpful,neutral,Circular Claim,No Evidence,1
73,somewhat helpful,neutral,Circular Claim,Another True Cause,1
74,helpful,neutral,Circular Claim,Missing Mechanism 1,2
75,somewhat helpful,neutral,Circular Claim,Missing Mechanism 2,1
76,somewhat helpful,neutral,Circular Claim,No Need to Address,1
77,somewhat helpful,neutral,Circular Claim,Negative Effect due to y,1
78,somewhat helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 1,1
79,somewhat helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 2,1
80,somewhat helpful,neutral,False Causality,Mitigation,1
81,somewhat helpful,neutral,False Causality,Alternative,1
82,somewhat helpful,neutral,False Causality,No Evidence,1
83,somewhat helpful,neutral,False Causality,Another True Cause,1
84,somewhat helpful,neutral,False Causality,Missing Mechanism 1,1
85,somewhat helpful,neutral,False Causality,Missing Mechanism 2,1
86,somewhat helpful,neutral,False Causality,No Need to Address,1
87,somewhat helpful,neutral,False Causality,Negative Effect due to y,1
88,somewhat helpful,neutral,False Causality,Positive Effects of a Different Perspective from y 1,1
89,helpful,neutral,False Causality,Positive Effects of a Different Perspective from y 2,2
90,somewhat helpful,neutral,Equivocation,Mitigation,1
91,somewhat helpful,neutral,Equivocation,Alternative,1
92,somewhat helpful,neutral,Equivocation,No Evidence,1
93,somewhat helpful,neutral,Equivocation,Another True Cause,1
94,somewhat helpful,neutral,Equivocation,Missing Mechanism 1,1
95,somewhat helpful,neutral,Equivocation,Missing Mechanism 2,1
96,somewhat helpful,neutral,Equivocation,No Need to Address,1
97,somewhat helpful,neutral,Equivocation,Negative Effect due to y,1
98,somewhat helpful,neutral,Equivocation,Positive Effects of a Different Perspective from y 1,1
99,somewhat helpful,neutral,Equivocation,Positive Effects of a Different Perspective from y 2,1
100,somewhat helpful,neutral,Faulty Generalization,Mitigation,1
101,somewhat helpful,neutral,Faulty Generalization,Alternative,1
102,helpful,neutral,Faulty Generalization,No Evidence,2
103,somewhat helpful,neutral,Faulty Generalization,Another True Cause,1
104,somewhat helpful,neutral,Faulty Generalization,Missing Mechanism 1,1
105,somewhat helpful,neutral,Faulty Generalization,Missing Mechanism 2,1
106,somewhat helpful,neutral,Faulty Generalization,No Need to Address,1
107,helpful,neutral,Faulty Generalization,Negative Effect due to y,2
108,somewhat helpful,neutral,Faulty Generalization,Positive Effects of a Different Perspective from y 1,1
109,helpful,neutral,Faulty Generalization,Positive Effects of a Different Perspective from y 2,2
110,somewhat helpful,neutral,Fallacy of Credibility,Mitigation,1
111,somewhat helpful,neutral,Fallacy of Credibility,Alternative,1
112,helpful,neutral,Fallacy of Credibility,No Evidence,2
113,helpful,neutral,Fallacy of Credibility,Another True Cause,2
114,helpful,neutral,Fallacy of Credibility,Missing Mechanism 1,2
115,helpful,neutral,Fallacy of Credibility,Missing Mechanism 2,2
116,helpful,neutral,Fallacy of Credibility,No Need to Address,2
117,helpful,neutral,Fallacy of Credibility,Negative Effect due to y,2
118,somewhat helpful,neutral,Fallacy of Credibility,Positive Effects of a Different Perspective from y 1,1
119,somewhat helpful,neutral,Fallacy of Credibility,Positive Effects of a Different Perspective from y 2,1
120,somewhat helpful,neutral,Ad Hominem,Mitigation,1
121,somewhat helpful,neutral,Ad Hominem,Alternative,1
122,somewhat helpful,neutral,Ad Hominem,No Evidence,1
123,somewhat helpful,neutral,Ad Hominem,Another True Cause,1
124,somewhat helpful,neutral,Ad Hominem,Missing Mechanism 1,1
125,somewhat helpful,neutral,Ad Hominem,Missing Mechanism 2,1
126,somewhat helpful,neutral,Ad Hominem,No Need to Address,1
127,somewhat helpful,neutral,Ad Hominem,Negative Effect due to y,1
128,somewhat helpful,neutral,Ad Hominem,Positive Effects of a Different Perspective from y 1,1
129,somewhat helpful,neutral,Ad Hominem,Positive Effects of a Different Perspective from y 2,1
130,somewhat helpful,neutral,Intentional Fallacy,Mitigation,1
131,somewhat helpful,neutral,Intentional Fallacy,Alternative,1
132,somewhat helpful,neutral,Intentional Fallacy,No Evidence,1
133,somewhat helpful,neutral,Intentional Fallacy,Another True Cause,1
134,helpful,neutral,Intentional Fallacy,Missing Mechanism 1,2
135,somewhat helpful,neutral,Intentional Fallacy,Missing Mechanism 2,1
136,helpful,neutral,Intentional Fallacy,No Need to Address,2
137,helpful,neutral,Intentional Fallacy,Negative Effect due to y,2
138,helpful,neutral,Intentional Fallacy,Positive Effects of a Different Perspective from y 1,2
139,somewhat helpful,neutral,Intentional Fallacy,Positive Effects of a Different Perspective from y 2,1
140,somewhat helpful,neutral,Appeal to Emotion,Mitigation,1
141,somewhat helpful,neutral,Appeal to Emotion,Alternative,1
142,somewhat helpful,neutral,Appeal to Emotion,No Evidence,1
143,somewhat helpful,neutral,Appeal to Emotion,Another True Cause,1
144,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 1,1
145,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 2,1
146,somewhat helpful,neutral,Appeal to Emotion,No Need to Address,1
147,helpful,neutral,Appeal to Emotion,Negative Effect due to y,2
148,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 1,1
149,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 2,1
150,somewhat helpful,neutral,Fallacy of Relevance,Mitigation,1
151,somewhat helpful,neutral,Fallacy of Relevance,Alternative,1
152,somewhat helpful,neutral,Fallacy of Relevance,No Evidence,1
153,somewhat helpful,neutral,Fallacy of Relevance,Another True Cause,1
154,somewhat helpful,neutral,Fallacy of Relevance,Missing Mechanism 1,1
155,somewhat helpful,neutral,Fallacy of Relevance,Missing Mechanism 2,1
156,somewhat helpful,neutral,Fallacy of Relevance,No Need to Address,1
157,somewhat helpful,neutral,Fallacy of Relevance,Negative Effect due to y,1
158,somewhat helpful,neutral,Fallacy of Relevance,Positive Effects of a Different Perspective from y 1,1
159,somewhat helpful,neutral,Fallacy of Relevance,Positive Effects of a Different Perspective from y 2,1
160,helpful,neutral,Intentional Fallacy,Mitigation,2
161,helpful,neutral,Intentional Fallacy,Alternative,2
162,helpful,neutral,Intentional Fallacy,No Evidence,2
163,somewhat helpful,neutral,Intentional Fallacy,Another True Cause,1
164,helpful,neutral,Intentional Fallacy,Missing Mechanism 1,2
165,helpful,neutral,Intentional Fallacy,Missing Mechanism 2,2
166,helpful,neutral,Intentional Fallacy,No Need to Address,2
167,helpful,neutral,Intentional Fallacy,Negative Effect due to y,2
168,helpful,neutral,Intentional Fallacy,Positive Effects of a Different Perspective from y 1,2
169,helpful,neutral,Intentional Fallacy,Positive Effects of a Different Perspective from y 2,2
170,somewhat helpful,neutral,False Dilemma,Mitigation,1
171,somewhat helpful,neutral,False Dilemma,Alternative,1
172,somewhat helpful,neutral,False Dilemma,No Evidence,1
173,somewhat helpful,neutral,False Dilemma,Another True Cause,1
174,helpful,neutral,False Dilemma,Missing Mechanism 1,2
175,somewhat helpful,neutral,False Dilemma,Missing Mechanism 2,1
176,somewhat helpful,neutral,False Dilemma,No Need to Address,1
177,somewhat helpful,neutral,False Dilemma,Negative Effect due to y,1
178,somewhat helpful,neutral,False Dilemma,Positive Effects of a Different Perspective from y 1,1
179,helpful,neutral,False Dilemma,Positive Effects of a Different Perspective from y 2,2
180,somewhat helpful,neutral,Faulty Generalization,Mitigation,1
181,somewhat helpful,neutral,Faulty Generalization,Alternative,1
182,somewhat helpful,neutral,Faulty Generalization,No Evidence,1
183,somewhat helpful,neutral,Faulty Generalization,Another True Cause,1
184,somewhat helpful,neutral,Faulty Generalization,Missing Mechanism 1,1
185,somewhat helpful,neutral,Faulty Generalization,Missing Mechanism 2,1
186,somewhat helpful,neutral,Faulty Generalization,No Need to Address,1
187,somewhat helpful,neutral,Faulty Generalization,Negative Effect due to y,1
188,somewhat helpful,neutral,Faulty Generalization,Positive Effects of a Different Perspective from y 1,1
189,somewhat helpful,neutral,Faulty Generalization,Positive Effects of a Different Perspective from y 2,1
190,somewhat helpful,neutral,Deductive Fallacy,Mitigation,1
191,somewhat helpful,neutral,Deductive Fallacy,Alternative,1
192,helpful,neutral,Deductive Fallacy,No Evidence,2
193,helpful,neutral,Deductive Fallacy,Another True Cause,2
194,helpful,neutral,Deductive Fallacy,Missing Mechanism 1,2
195,somewhat helpful,neutral,Deductive Fallacy,Missing Mechanism 2,1
196,helpful,neutral,Deductive Fallacy,No Need to Address,2
197,somewhat helpful,neutral,Deductive Fallacy,Negative Effect due to y,1
198,somewhat helpful,neutral,Deductive Fallacy,Positive Effects of a Different Perspective from y 1,1
199,somewhat helpful,neutral,Deductive Fallacy,Positive Effects of a Different Perspective from y 2,1
200,somewhat helpful,neutral,Ad Populum,Mitigation,1
201,somewhat helpful,neutral,Ad Populum,Alternative,1
202,somewhat helpful,neutral,Ad Populum,No Evidence,1
203,somewhat helpful,neutral,Ad Populum,Another True Cause,1
204,somewhat helpful,neutral,Ad Populum,Missing Mechanism 1,1
205,somewhat helpful,neutral,Ad Populum,Missing Mechanism 2,1
206,somewhat helpful,neutral,Ad Populum,No Need to Address,1
207,somewhat helpful,neutral,Ad Populum,Negative Effect due to y,1
208,somewhat helpful,neutral,Ad Populum,Positive Effects of a Different Perspective from y 1,1
209,somewhat helpful,neutral,Ad Populum,Positive Effects of a Different Perspective from y 2,1
210,somewhat helpful,neutral,Appeal to Emotion,Mitigation,1
211,somewhat helpful,neutral,Appeal to Emotion,Alternative,1
212,somewhat helpful,neutral,Appeal to Emotion,No Evidence,1
213,somewhat helpful,neutral,Appeal to Emotion,Another True Cause,1
214,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 1,1
215,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 2,1
216,somewhat helpful,neutral,Appeal to Emotion,No Need to Address,1
217,somewhat helpful,neutral,Appeal to Emotion,Negative Effect due to y,1
218,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 1,1
219,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 2,1
220,somewhat helpful,neutral,Ad Hominem,Mitigation,1
221,somewhat helpful,neutral,Ad Hominem,Alternative,1
222,helpful,neutral,Ad Hominem,No Evidence,2
223,somewhat helpful,neutral,Ad Hominem,Another True Cause,1
224,somewhat helpful,neutral,Ad Hominem,Missing Mechanism 1,1
225,somewhat helpful,neutral,Ad Hominem,Missing Mechanism 2,1
226,somewhat helpful,neutral,Ad Hominem,No Need to Address,1
227,somewhat helpful,neutral,Ad Hominem,Negative Effect due to y,1
228,somewhat helpful,neutral,Ad Hominem,Positive Effects of a Different Perspective from y 1,1
229,somewhat helpful,neutral,Ad Hominem,Positive Effects of a Different Perspective from y 2,1
230,helpful,neutral,Fallacy of Extension,Mitigation,2
231,somewhat helpful,neutral,Fallacy of Extension,Alternative,1
232,helpful,neutral,Fallacy of Extension,No Evidence,2
233,helpful,neutral,Fallacy of Extension,Another True Cause,2
234,somewhat helpful,neutral,Fallacy of Extension,Missing Mechanism 1,1
235,somewhat helpful,neutral,Fallacy of Extension,Missing Mechanism 2,1
236,helpful,neutral,Fallacy of Extension,No Need to Address,2
237,helpful,neutral,Fallacy of Extension,Negative Effect due to y,2
238,somewhat helpful,neutral,Fallacy of Extension,Positive Effects of a Different Perspective from y 1,1
239,somewhat helpful,neutral,Fallacy of Extension,Positive Effects of a Different Perspective from y 2,1
240,somewhat helpful,neutral,Fallacy of Credibility,Mitigation,1
241,somewhat helpful,neutral,Fallacy of Credibility,Alternative,1
242,helpful,neutral,Fallacy of Credibility,No Evidence,2
243,somewhat helpful,neutral,Fallacy of Credibility,Another True Cause,1
244,helpful,neutral,Fallacy of Credibility,Missing Mechanism 1,2
245,somewhat helpful,neutral,Fallacy of Credibility,Missing Mechanism 2,1
246,helpful,neutral,Fallacy of Credibility,No Need to Address,2
247,helpful,neutral,Fallacy of Credibility,Negative Effect due to y,2
248,helpful,neutral,Fallacy of Credibility,Positive Effects of a Different Perspective from y 1,2
249,helpful,neutral,Fallacy of Credibility,Positive Effects of a Different Perspective from y 2,2
250,somewhat helpful,neutral,Fallacy of Extension,Mitigation,1
251,somewhat helpful,neutral,Fallacy of Extension,Alternative,1
252,somewhat helpful,neutral,Fallacy of Extension,No Evidence,1
253,somewhat helpful,neutral,Fallacy of Extension,Another True Cause,1
254,somewhat helpful,neutral,Fallacy of Extension,Missing Mechanism 1,1
255,somewhat helpful,neutral,Fallacy of Extension,Missing Mechanism 2,1
256,helpful,neutral,Fallacy of Extension,No Need to Address,2
257,helpful,neutral,Fallacy of Extension,Negative Effect due to y,2
258,somewhat helpful,neutral,Fallacy of Extension,Positive Effects of a Different Perspective from y 1,1
259,somewhat helpful,neutral,Fallacy of Extension,Positive Effects of a Different Perspective from y 2,1
260,somewhat helpful,neutral,Intentional Fallacy,Mitigation,1
261,somewhat helpful,neutral,Intentional Fallacy,Alternative,1
262,somewhat helpful,neutral,Intentional Fallacy,No Evidence,1
263,somewhat helpful,neutral,Intentional Fallacy,Another True Cause,1
264,somewhat helpful,neutral,Intentional Fallacy,Missing Mechanism 1,1
265,somewhat helpful,neutral,Intentional Fallacy,Missing Mechanism 2,1
266,somewhat helpful,neutral,Intentional Fallacy,No Need to Address,1
267,somewhat helpful,neutral,Intentional Fallacy,Negative Effect due to y,1
268,somewhat helpful,neutral,Intentional Fallacy,Positive Effects of a Different Perspective from y 1,1
269,somewhat helpful,neutral,Intentional Fallacy,Positive Effects of a Different Perspective from y 2,1
270,somewhat helpful,neutral,Deductive Fallacy,Mitigation,1
271,helpful,neutral,Deductive Fallacy,Alternative,2
272,helpful,neutral,Deductive Fallacy,No Evidence,2
273,somewhat helpful,neutral,Deductive Fallacy,Another True Cause,1
274,somewhat helpful,neutral,Deductive Fallacy,Missing Mechanism 1,1
275,somewhat helpful,neutral,Deductive Fallacy,Missing Mechanism 2,1
276,somewhat helpful,neutral,Deductive Fallacy,No Need to Address,1
277,helpful,neutral,Deductive Fallacy,Negative Effect due to y,2
278,somewhat helpful,neutral,Deductive Fallacy,Positive Effects of a Different Perspective from y 1,1
279,helpful,neutral,Deductive Fallacy,Positive Effects of a Different Perspective from y 2,2
280,somewhat helpful,neutral,False Dilemma,Mitigation,1
281,somewhat helpful,neutral,False Dilemma,Alternative,1
282,somewhat helpful,neutral,False Dilemma,No Evidence,1
283,somewhat helpful,neutral,False Dilemma,Another True Cause,1
284,somewhat helpful,neutral,False Dilemma,Missing Mechanism 1,1
285,somewhat helpful,neutral,False Dilemma,Missing Mechanism 2,1
286,helpful,neutral,False Dilemma,No Need to Address,2
287,somewhat helpful,neutral,False Dilemma,Negative Effect due to y,1
288,somewhat helpful,neutral,False Dilemma,Positive Effects of a Different Perspective from y 1,1
289,somewhat helpful,neutral,False Dilemma,Positive Effects of a Different Perspective from y 2,1
290,somewhat helpful,neutral,Fallacy of Extension,Mitigation,1
291,somewhat helpful,neutral,Fallacy of Extension,Alternative,1
292,somewhat helpful,neutral,Fallacy of Extension,No Evidence,1
293,somewhat helpful,neutral,Fallacy of Extension,Another True Cause,1
294,somewhat helpful,neutral,Fallacy of Extension,Missing Mechanism 1,1
295,somewhat helpful,neutral,Fallacy of Extension,Missing Mechanism 2,1
296,somewhat helpful,neutral,Fallacy of Extension,No Need to Address,1
297,somewhat helpful,neutral,Fallacy of Extension,Negative Effect due to y,1
298,somewhat helpful,neutral,Fallacy of Extension,Positive Effects of a Different Perspective from y 1,1
299,somewhat helpful,neutral,Fallacy of Extension,Positive Effects of a Different Perspective from y 2,1
300,helpful,neutral,False Dilemma,Mitigation,2
301,somewhat helpful,neutral,False Dilemma,Alternative,1
302,helpful,neutral,False Dilemma,No Evidence,2
303,helpful,neutral,False Dilemma,Another True Cause,2
304,helpful,neutral,False Dilemma,Missing Mechanism 1,2
305,somewhat helpful,neutral,False Dilemma,Missing Mechanism 2,1
306,somewhat helpful,neutral,False Dilemma,No Need to Address,1
307,somewhat helpful,neutral,False Dilemma,Negative Effect due to y,1
308,somewhat helpful,neutral,False Dilemma,Positive Effects of a Different Perspective from y 1,1
309,somewhat helpful,neutral,False Dilemma,Positive Effects of a Different Perspective from y 2,1
310,somewhat helpful,neutral,False Causality,Mitigation,1
311,somewhat helpful,neutral,False Causality,Alternative,1
312,helpful,neutral,False Causality,No Evidence,2
313,somewhat helpful,neutral,False Causality,Another True Cause,1
314,somewhat helpful,neutral,False Causality,Missing Mechanism 1,1
315,somewhat helpful,neutral,False Causality,Missing Mechanism 2,1
316,helpful,neutral,False Causality,No Need to Address,2
317,helpful,neutral,False Causality,Negative Effect due to y,2
318,somewhat helpful,neutral,False Causality,Positive Effects of a Different Perspective from y 1,1
319,somewhat helpful,neutral,False Causality,Positive Effects of a Different Perspective from y 2,1
320,somewhat helpful,neutral,Equivocation,Mitigation,1
321,somewhat helpful,neutral,Equivocation,Alternative,1
322,somewhat helpful,neutral,Equivocation,No Evidence,1
323,somewhat helpful,neutral,Equivocation,Another True Cause,1
324,helpful,neutral,Equivocation,Missing Mechanism 1,2
325,somewhat helpful,neutral,Equivocation,Missing Mechanism 2,1
326,somewhat helpful,neutral,Equivocation,No Need to Address,1
327,helpful,neutral,Equivocation,Negative Effect due to y,2
328,helpful,neutral,Equivocation,Positive Effects of a Different Perspective from y 1,2
329,helpful,neutral,Equivocation,Positive Effects of a Different Perspective from y 2,2
330,somewhat helpful,neutral,Ad Populum,Mitigation,1
331,somewhat helpful,neutral,Ad Populum,Alternative,1
332,somewhat helpful,neutral,Ad Populum,No Evidence,1
333,somewhat helpful,neutral,Ad Populum,Another True Cause,1
334,helpful,neutral,Ad Populum,Missing Mechanism 1,2
335,helpful,neutral,Ad Populum,Missing Mechanism 2,2
336,somewhat helpful,neutral,Ad Populum,No Need to Address,1
337,somewhat helpful,neutral,Ad Populum,Negative Effect due to y,1
338,somewhat helpful,neutral,Ad Populum,Positive Effects of a Different Perspective from y 1,1
339,somewhat helpful,neutral,Ad Populum,Positive Effects of a Different Perspective from y 2,1
340,helpful,neutral,Circular Claim,Mitigation,2
341,helpful,neutral,Circular Claim,Alternative,2
342,helpful,neutral,Circular Claim,No Evidence,2
343,helpful,neutral,Circular Claim,Another True Cause,2
344,helpful,neutral,Circular Claim,Missing Mechanism 1,2
345,helpful,neutral,Circular Claim,Missing Mechanism 2,2
346,helpful,neutral,Circular Claim,No Need to Address,2
347,helpful,neutral,Circular Claim,Negative Effect due to y,2
348,helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 1,2
349,helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 2,2
350,helpful,neutral,False Causality,Mitigation,2
351,somewhat helpful,neutral,False Causality,Alternative,1
352,somewhat helpful,neutral,False Causality,No Evidence,1
353,helpful,neutral,False Causality,Another True Cause,2
354,helpful,neutral,False Causality,Missing Mechanism 1,2
355,somewhat helpful,neutral,False Causality,Missing Mechanism 2,1
356,helpful,neutral,False Causality,No Need to Address,2
357,somewhat helpful,neutral,False Causality,Negative Effect due to y,1
358,somewhat helpful,neutral,False Causality,Positive Effects of a Different Perspective from y 1,1
359,helpful,neutral,False Causality,Positive Effects of a Different Perspective from y 2,2
360,somewhat helpful,neutral,Fallacy of Credibility,Mitigation,1
361,somewhat helpful,neutral,Fallacy of Credibility,Alternative,1
362,somewhat helpful,neutral,Fallacy of Credibility,No Evidence,1
363,somewhat helpful,neutral,Fallacy of Credibility,Another True Cause,1
364,somewhat helpful,neutral,Fallacy of Credibility,Missing Mechanism 1,1
365,somewhat helpful,neutral,Fallacy of Credibility,Missing Mechanism 2,1
366,somewhat helpful,neutral,Fallacy of Credibility,No Need to Address,1
367,somewhat helpful,neutral,Fallacy of Credibility,Negative Effect due to y,1
368,somewhat helpful,neutral,Fallacy of Credibility,Positive Effects of a Different Perspective from y 1,1
369,somewhat helpful,neutral,Fallacy of Credibility,Positive Effects of a Different Perspective from y 2,1
370,somewhat helpful,neutral,Deductive Fallacy,Mitigation,1
371,somewhat helpful,neutral,Deductive Fallacy,Alternative,1
372,somewhat helpful,neutral,Deductive Fallacy,No Evidence,1
373,somewhat helpful,neutral,Deductive Fallacy,Another True Cause,1
374,somewhat helpful,neutral,Deductive Fallacy,Missing Mechanism 1,1
375,somewhat helpful,neutral,Deductive Fallacy,Missing Mechanism 2,1
376,somewhat helpful,neutral,Deductive Fallacy,No Need to Address,1
377,somewhat helpful,neutral,Deductive Fallacy,Negative Effect due to y,1
378,somewhat helpful,neutral,Deductive Fallacy,Positive Effects of a Different Perspective from y 1,1
379,somewhat helpful,neutral,Deductive Fallacy,Positive Effects of a Different Perspective from y 2,1
380,somewhat helpful,neutral,Fallacy of Relevance,Mitigation,1
381,somewhat helpful,neutral,Fallacy of Relevance,Alternative,1
382,somewhat helpful,neutral,Fallacy of Relevance,No Evidence,1
383,somewhat helpful,neutral,Fallacy of Relevance,Another True Cause,1
384,somewhat helpful,neutral,Fallacy of Relevance,Missing Mechanism 1,1
385,somewhat helpful,neutral,Fallacy of Relevance,Missing Mechanism 2,1
386,helpful,neutral,Fallacy of Relevance,No Need to Address,2
387,somewhat helpful,neutral,Fallacy of Relevance,Negative Effect due to y,1
388,somewhat helpful,neutral,Fallacy of Relevance,Positive Effects of a Different Perspective from y 1,1
389,somewhat helpful,neutral,Fallacy of Relevance,Positive Effects of a Different Perspective from y 2,1
390,somewhat helpful,neutral,Circular Claim,Mitigation,1
391,somewhat helpful,neutral,Circular Claim,Alternative,1
392,helpful,neutral,Circular Claim,No Evidence,2
393,helpful,neutral,Circular Claim,Another True Cause,2
394,somewhat helpful,neutral,Circular Claim,Missing Mechanism 1,1
395,helpful,neutral,Circular Claim,Missing Mechanism 2,2
396,helpful,neutral,Circular Claim,No Need to Address,2
397,helpful,neutral,Circular Claim,Negative Effect due to y,2
398,helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 1,2
399,helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 2,2
400,somewhat helpful,neutral,Appeal to Emotion,Mitigation,1
401,somewhat helpful,neutral,Appeal to Emotion,Alternative,1
402,somewhat helpful,neutral,Appeal to Emotion,No Evidence,1
403,somewhat helpful,neutral,Appeal to Emotion,Another True Cause,1
404,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 1,1
405,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 2,1
406,somewhat helpful,neutral,Appeal to Emotion,No Need to Address,1
407,somewhat helpful,neutral,Appeal to Emotion,Negative Effect due to y,1
408,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 1,1
409,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 2,1
410,somewhat helpful,neutral,Ad Hominem,Mitigation,1
411,somewhat helpful,neutral,Ad Hominem,Alternative,1
412,somewhat helpful,neutral,Ad Hominem,No Evidence,1
413,somewhat helpful,neutral,Ad Hominem,Another True Cause,1
